,,,test/target/rmse/dataloader_idx_1,test/target/rmse/dataloader_idx_1,test/target/rmse/dataloader_idx_1,test/target/rmse/dataloader_idx_1,test/target/rmse/dataloader_idx_1,test/target/rmse/dataloader_idx_1,test/target/rmse/dataloader_idx_1,test/target/rmse/dataloader_idx_1,test/target/rmse/dataloader_idx_1,test/target/rmse/dataloader_idx_1,test/target/rmse/dataloader_idx_1,test/target/rmse/dataloader_idx_1,test/target/rmse/dataloader_idx_1,test/target/rmse/dataloader_idx_1,test/target/rmse/dataloader_idx_1,test/target/rmse/dataloader_idx_1,test/target/rmse/dataloader_idx_1,test/target/rmse/dataloader_idx_1,test/target/rmse/dataloader_idx_1,test/target/rmse/dataloader_idx_1,test/target/rmse/dataloader_idx_1,test/target/rmse/dataloader_idx_1,test/target/rmse/dataloader_idx_1,test/target/rmse/dataloader_idx_1
dataset,,,cmapss,cmapss,cmapss,cmapss,cmapss,cmapss,cmapss,cmapss,cmapss,cmapss,cmapss,cmapss,femto,femto,femto,femto,femto,femto,xjtu-sy,xjtu-sy,xjtu-sy,xjtu-sy,xjtu-sy,xjtu-sy
source,,,1,1,1,2,2,2,3,3,3,4,4,4,1,1,2,2,3,3,1,1,2,2,3,3
target,,,2,3,4,1,3,4,1,2,4,1,2,3,2,3,1,3,1,2,2,3,1,3,1,2
adaption_mode,backbone,approach,,,,,,,,,,,,,,,,,,,,,,,,
60percent,cnn,AdaRulApproach,48.69248657226562,32.64409294128418,45.96019287109375,32.29434509277344,37.25959701538086,34.478264236450194,33.5698429107666,48.00915374755859,45.673561096191406,26.80732116699219,22.406631851196288,36.102517700195314,,,,,,,,,,,,
60percent,cnn,ConditionalDannApproach,42.60206146240235,30.323959732055663,44.10530319213867,23.96231508255005,33.41083685557047,35.96810760498047,24.536080169677735,44.615699768066406,45.56072311401367,25.863037872314454,36.90014801025391,32.511715698242185,,,,,,,,,,,,
60percent,cnn,ConditionalMmdApproach,43.09349136352539,37.479165649414064,44.78617935180664,24.20938491821289,32.58329772949219,35.34668655395508,22.77430953979492,44.79127578735351,46.10786514282226,29.9824161529541,24.03186492919922,42.93463134765625,,,,,,,,,,,,
60percent,cnn,ConsistencyApproach,49.458849334716795,32.79407806396485,53.69759292602539,32.87444953918457,41.92688980102539,37.73347778320313,36.79483833312988,49.462914276123044,57.151974487304685,30.501586151123046,25.453349304199218,43.428427124023436,,,,,,,,,,,,
60percent,cnn,DannApproach,42.66460266113281,28.20195770263672,43.69823532104492,24.09108200073242,34.86448669433594,35.52969055175781,22.53663749694824,43.891046142578126,44.2705078125,24.3451717376709,33.284498596191405,31.874583435058593,,,,,,,,,,,,
60percent,cnn,LatentAlignApproach,52.03307418823242,28.650426864624023,52.9731559753418,20.80803108215332,29.684415435791017,32.6088981628418,23.86145477294922,42.31995391845703,53.009465026855466,25.970326614379882,24.698820114135742,36.206441497802736,,,,,,,,,,,,
60percent,cnn,MmdApproach,45.07899856567383,36.119116973876956,45.84663619995117,34.79390602111816,42.2727165222168,36.349609375,22.555085754394533,47.83738708496094,47.65510635375976,27.054302978515626,22.417317199707032,47.38540802001953,,,,,,,,,,,,
60percent,cnn,PseudoLabelsApproach,30.84456901550293,27.203326797485353,34.087256240844724,26.234676361083984,36.280491256713866,31.30384407043457,32.63984375,38.76249046325684,41.24091110229492,26.31162796020508,27.392136001586913,38.950827026367186,,,,,,,,,,,,
complete,cnn,AdaRulApproach,47.38084106445312,31.208747100830077,47.39129486083984,22.045603942871093,34.53580932617187,33.15243339538574,31.989107131958008,45.95040664672852,49.25906829833984,23.309074783325194,20.939447784423827,35.44872207641602,,,,,,,,,,,,
complete,cnn,ConditionalDannApproach,42.99945907592773,26.032053756713868,43.91728744506836,23.83882293701172,33.91727981567383,35.53908081054688,24.055300140380858,44.041178131103514,45.961143493652344,26.792203521728517,37.22813873291015,31.444953536987306,,,,,,,,,,,,
complete,cnn,ConditionalMmdApproach,43.24368057250977,32.45516929626465,46.44527359008789,25.634619522094727,33.66694564819336,35.04241714477539,22.89564628601074,44.964665222167966,46.1765640258789,31.413734436035156,30.82811622619629,53.62975387573242,,,,,,,,,,,,
complete,cnn,ConsistencyApproach,50.26880722045898,38.68276519775391,49.6787353515625,32.97233619689941,43.669308471679685,36.92200393676758,38.52236480712891,51.51029510498047,51.59878387451172,33.5543716430664,24.32745780944824,49.16236190795898,,,,,,,,,,,,
complete,cnn,DannApproach,42.877417755126956,25.98096160888672,44.1321304321289,24.630663299560545,33.64982376098633,35.540906524658205,23.493274307250978,43.48558044433594,44.95737075805664,25.70038185119629,34.38250732421875,32.506291198730466,,,,,,,,,,,,
complete,cnn,LatentAlignApproach,46.64054794311524,24.878563690185548,52.34070510864258,21.68094301223755,25.89358024597168,32.5068244934082,25.02626953125,57.89813079833984,49.6745964050293,23.023408889770508,23.920594692230225,31.287062072753905,,,,,,,,,,,,
complete,cnn,MmdApproach,46.39069595336914,30.233891677856445,46.45851593017578,42.318698501586915,38.21669044494629,35.544342041015625,24.864397048950195,46.78186569213867,48.358061981201175,26.658667755126952,23.996156692504883,40.10152893066406,,,,,,,,,,,,
complete,cnn,PseudoLabelsApproach,25.32008514404297,20.65204200744629,27.45848274230957,39.92366600036621,29.13825225830078,28.171956253051757,15.333588790893554,38.791439056396484,44.14278335571289,18.6301851272583,20.284643173217773,34.333840942382814,,,,,,,,,,,,
inductive,cnn,AdaRulApproach,48.34187469482422,34.110351181030275,49.76811752319336,23.664043426513672,36.060905075073244,32.48616714477539,38.52975158691406,46.58311996459961,44.89076690673828,25.91026496887207,23.172504806518553,34.358235931396486,,,,,,,,,,,,
inductive,cnn,ConditionalDannApproach,42.96197509765625,28.122373580932617,43.457540893554686,23.877096557617186,34.259579467773435,35.292134857177736,29.727967834472658,44.331240844726565,45.500634002685544,24.70213394165039,37.326490020751955,31.73332824707031,,,,,,,,,,,,
inductive,cnn,ConditionalMmdApproach,43.91222229003906,35.42953720092773,44.832644653320315,24.80443572998047,31.51584701538086,35.31454162597656,22.921619033813478,45.90009689331055,46.2147834777832,30.39795799255371,30.393327713012695,42.864437866210935,,,,,,,,,,,,
inductive,cnn,ConsistencyApproach,55.0279426574707,35.455039978027344,59.7819580078125,34.89190673828125,46.079663848876955,37.60343246459961,30.433251190185548,53.63276977539063,54.657142639160156,32.282099914550784,23.066311645507813,49.724473571777345,,,,,,,,,,,,
inductive,cnn,DannApproach,42.61837387084961,30.004278945922852,43.95459213256836,23.69557113647461,33.96496429443359,35.50000152587891,22.249365997314452,43.49547348022461,44.54460678100586,24.685414123535157,33.417991638183594,32.74811477661133,,,,,,,,,,,,
inductive,cnn,LatentAlignApproach,51.36349258422852,24.27374076843262,43.711465454101564,20.194751739501953,27.535566329956055,32.415000915527344,21.49422264099121,51.23771286010742,43.33775634765625,23.031155395507813,37.2702693939209,29.60711097717285,,,,,,,,,,,,
inductive,cnn,MmdApproach,45.949615478515625,35.11027374267578,46.405008697509764,33.11313972473145,43.094233703613284,36.361246490478514,22.60729866027832,47.46324005126953,45.56814422607422,28.121247863769533,24.452283096313476,43.97107467651367,,,,,,,,,,,,
inductive,cnn,PseudoLabelsApproach,25.206196975708007,21.01151924133301,31.454157638549805,25.522311782836915,30.771104049682616,29.760420989990234,23.45557060241699,33.638576889038085,36.95565414428711,27.803225708007812,23.906051635742188,35.65715103149414,,,,,,,,,,,,
transductive,cnn,AdaRulApproach,49.62486190795899,35.35617294311523,47.11476821899414,28.9626708984375,31.71142234802246,34.81012191772461,33.11096611022949,48.50065689086914,49.14130477905273,21.89929084777832,21.57805519104004,32.50500717163086,0.42883461713790894,0.5168933033943176,0.8473771631717681,0.48092862367630007,0.4224779963493347,0.27447582483291627,0.3387597918510437,0.5001217365264893,0.3981521427631378,0.34853569865226747,0.7492111206054688,0.910303407907486
transductive,cnn,ConditionalDannApproach,42.8356430053711,29.82077102661133,43.64240188598633,24.19157600402832,34.15462646484375,35.493771362304685,30.637397003173827,44.49926834106445,46.11800765991211,25.66056251525879,37.0759521484375,31.625783920288086,0.33390997648239135,0.3050645709037781,0.31902560591697693,0.38822987079620364,0.3546733021736145,0.2636697798967361,0.38400611877441404,0.2816985726356506,0.32037908434867857,0.24791001677513122,0.34316460490226747,0.3016294240951538
transductive,cnn,ConditionalMmdApproach,43.258583068847656,31.128979110717772,44.640122985839845,24.22035942077637,31.70596351623535,36.35663528442383,21.88313102722168,44.47779922485351,46.05582504272461,30.54081916809082,26.23250389099121,45.10328750610351,0.400825035572052,0.2583297282457352,0.28982390761375426,0.46609811782836913,0.3248052835464478,0.293600058555603,0.3601351320743561,0.28263895213603973,0.3183590531349182,0.2507806658744812,0.3272394359111786,0.23749371767044067
transductive,cnn,ConsistencyApproach,52.43494873046875,39.17405624389649,49.889501953125,49.15460052490234,43.01846351623535,37.144586181640626,31.165035247802734,57.37771377563477,49.17870330810547,32.97878875732422,23.154621124267578,39.59077491760254,0.33003262877464296,0.2987618684768677,0.33192753195762636,0.4174733966588974,0.3586647391319275,0.27135743796825407,0.41609792709350585,0.35699446201324464,0.3255675435066223,0.23197029232978822,0.3590487003326416,0.3217785477638245
transductive,cnn,DannApproach,42.35882568359375,27.13045310974121,43.88388366699219,23.808290863037108,33.66910247802734,35.28926391601563,23.573283004760743,43.531401824951175,44.56313629150391,25.14257698059082,33.48412017822265,32.98516731262207,0.41470224857330323,0.30716599225997926,0.35805549621582033,0.49423216581344603,0.34120681285858157,0.2878093719482422,0.4000217437744141,0.35051695108413694,0.32136461734771726,0.21624590158462526,0.3177733600139618,0.2738643079996109
transductive,cnn,LatentAlignApproach,42.7776382446289,26.03880920410156,62.038195037841795,20.064501953125,25.90665626525879,32.323433303833006,22.025249481201172,53.335914611816406,43.81853485107422,22.827146530151367,23.47896499633789,29.349005126953124,0.31020087003707886,0.3461278140544891,0.3867598593235016,0.4226535975933075,0.328469580411911,0.2897537529468536,0.3040450274944305,0.6439135372638702,0.3290627598762512,0.3397171139717102,0.29986676573753357,0.24439018368721008
transductive,cnn,MmdApproach,45.869712829589844,32.92359313964844,45.68278045654297,32.44612197875976,34.222077178955075,36.171015930175784,23.338328170776368,47.972442626953125,47.246385955810545,27.928136825561523,26.593647003173828,42.079420471191405,0.33960267901420593,0.39968647956848147,0.3095726311206818,0.3844188451766968,0.3529720425605774,0.3263131380081177,0.32981722354888915,0.32738876938819883,0.33018596172332765,0.2528251796960831,0.3212536036968231,0.24078055322170258
transductive,cnn,NoAdaptionApproach,57.95446243286133,44.57732162475586,69.55832748413086,130.56002807617188,81.29690399169922,35.91970367431641,29.537364196777343,53.25497207641602,54.422264862060544,48.622135162353516,24.752527236938477,113.5417106628418,0.4113769829273224,0.3032623648643494,0.3291293978691101,0.48368021845817566,0.337408310174942,0.2620151162147522,0.33907567858695986,0.3531168222427368,0.32484466433525083,0.23597012758255004,0.323754620552063,0.2672031581401825
transductive,cnn,PseudoLabelsApproach,21.631646347045898,18.224256134033205,24.1416259765625,22.734372711181642,33.31619834899902,30.107197189331053,38.78341999053955,36.230994415283206,34.942162704467776,24.14038200378418,24.521839904785157,35.97927551269531,0.3755205810070038,0.3006929099559784,0.31148832440376284,0.32087220549583434,0.3122596263885498,0.3353765904903412,0.3146135091781616,0.3954472362995148,0.32399662137031554,0.1961606502532959,0.35141667127609255,0.20274330973625182
transductive,lstm,AdaRulApproach,43.63690872192383,34.82832260131836,44.929029083251955,36.69082145690918,38.55407791137695,40.875840759277345,36.56358795166015,44.75680999755859,46.60905075073242,43.132425689697264,44.57152633666992,46.17944564819336,,,,,,,,,,,,
transductive,lstm,ConditionalDannApproach,40.4759765625,36.76885223388672,43.07311096191406,28.266021728515625,34.76170043945312,32.38136253356934,22.462036895751954,48.198160552978514,45.4691276550293,28.022834014892577,19.892279815673827,43.709466552734376,,,,,,,,,,,,
transductive,lstm,ConditionalMmdApproach,44.25232009887695,39.23726196289063,44.89846954345703,31.799924850463867,41.74301528930664,33.830072021484376,20.213233184814452,46.36850509643555,45.86360397338867,29.28652153015137,19.90054244995117,43.0571174621582,,,,,,,,,,,,
