,path,approach,replication_group,source,target,dataset,backbone,adaption_mode,test/source/rmse/dataloader_idx_0,test/source/score/dataloader_idx_0,test/target/score/dataloader_idx_1,test/target/rmse/dataloader_idx_1,validation,epoch_time
0,rul-adapt/benchmark/86jegy2o,AdaRulApproach,0fd81fdf-df4f-4a56-9226-b50def6069c6,2,4,cmapss,cnn,60percent,26.6690673828125,7163.43896484375,13022.5126953125,29.69461250305176,28.138296127319336,4.071843528747559
1,rul-adapt/benchmark/wbtufafs,AdaRulApproach,0fd81fdf-df4f-4a56-9226-b50def6069c6,2,4,cmapss,cnn,60percent,30.063915252685547,34259.78515625,34721.29296875,36.42539596557617,32.92399215698242,3.5339121222496033
2,rul-adapt/benchmark/j6l7vokc,AdaRulApproach,56103325-ec31-4c85-95ff-3a0d2b9aaeab,2,3,cmapss,cnn,60percent,46.5819091796875,78290616.0,132031.71875,34.570594787597656,27.43355941772461,4.0528914630413055
3,rul-adapt/benchmark/lbso91hc,AdaRulApproach,0fd81fdf-df4f-4a56-9226-b50def6069c6,2,4,cmapss,cnn,60percent,23.6302433013916,7570.3115234375,20725.599609375,31.95391845703125,29.043495178222656,4.607529503958566
4,rul-adapt/benchmark/t43n3w5t,AdaRulApproach,56103325-ec31-4c85-95ff-3a0d2b9aaeab,2,3,cmapss,cnn,60percent,41.22116470336914,28268.91796875,65101.671875,43.18528366088867,43.17034530639648,3.814848320824759
5,rul-adapt/benchmark/2rkvw4tp,AdaRulApproach,0fd81fdf-df4f-4a56-9226-b50def6069c6,2,4,cmapss,cnn,60percent,31.014238357543945,29930.30859375,45115.109375,35.797969818115234,31.46533966064453,4.049801409244537
6,rul-adapt/benchmark/e7ds6i7a,AdaRulApproach,56103325-ec31-4c85-95ff-3a0d2b9aaeab,2,3,cmapss,cnn,60percent,32.126224517822266,38374.56640625,11676.134765625,29.88146591186523,28.042240142822266,4.131803404201161
7,rul-adapt/benchmark/y2hqs4lo,AdaRulApproach,0fd81fdf-df4f-4a56-9226-b50def6069c6,2,4,cmapss,cnn,60percent,29.64469337463379,146499.03125,326357.0,38.51942443847656,33.23842239379883,3.869764983654022
8,rul-adapt/benchmark/rbv2z34v,AdaRulApproach,98b5e98e-b795-44a1-a208-1050ff00ca14,1,2,cmapss,cnn,60percent,34.35552978515625,10998.646484375,3914183.0,42.69507598876953,44.129940032958984,2.718036691347758
9,rul-adapt/benchmark/dlj46u0q,AdaRulApproach,56103325-ec31-4c85-95ff-3a0d2b9aaeab,2,3,cmapss,cnn,60percent,26.475404739379883,10946.49609375,19586.154296875,39.4935188293457,34.78955841064453,4.448446141348945
10,rul-adapt/benchmark/uf4x9kpv,AdaRulApproach,0a5730fc-72eb-4a06-a463-49a05fd4afa9,2,1,cmapss,cnn,60percent,54.29365921020508,15866691.0,1609.54736328125,24.14822578430176,27.01086807250977,4.5228764827434835
11,rul-adapt/benchmark/wtahfjwd,AdaRulApproach,6a2bdde7-84d7-48d6-be8d-9a32e6b1ba68,3,2,cmapss,cnn,60percent,40.554195404052734,4944.49609375,134549952.0,57.376190185546875,56.37290954589844,3.1926471165248325
12,rul-adapt/benchmark/91r14810,AdaRulApproach,98b5e98e-b795-44a1-a208-1050ff00ca14,1,2,cmapss,cnn,60percent,59.11228942871094,373972.65625,161471856.0,57.655147552490234,58.13101577758789,2.660834789276123
13,rul-adapt/benchmark/8mhuqaon,AdaRulApproach,98b5e98e-b795-44a1-a208-1050ff00ca14,1,2,cmapss,cnn,60percent,13.62257194519043,276.9936218261719,224791344.0,55.178836822509766,54.53269958496094,2.0357677340507507
14,rul-adapt/benchmark/ugvueiuu,AdaRulApproach,6a2bdde7-84d7-48d6-be8d-9a32e6b1ba68,3,2,cmapss,cnn,60percent,23.93743324279785,1862.4461669921875,171800.46875,47.82661819458008,47.685028076171875,3.051044146219889
15,rul-adapt/benchmark/65tci4u4,AdaRulApproach,56103325-ec31-4c85-95ff-3a0d2b9aaeab,2,3,cmapss,cnn,60percent,44.37839126586914,25338.72265625,122185.828125,39.16712188720703,39.43334197998047,4.442332472120013
16,rul-adapt/benchmark/mxqfno63,AdaRulApproach,98b5e98e-b795-44a1-a208-1050ff00ca14,1,2,cmapss,cnn,60percent,15.313841819763184,314.79461669921875,225810.125,44.33736801147461,42.61163711547851,2.5509314060211183
17,rul-adapt/benchmark/dtf7kymt,AdaRulApproach,0a5730fc-72eb-4a06-a463-49a05fd4afa9,2,1,cmapss,cnn,60percent,43.35956954956055,471372.5625,2223.92236328125,24.27109718322754,25.616640090942383,4.485577236522328
18,rul-adapt/benchmark/cmif8gu7,AdaRulApproach,98b5e98e-b795-44a1-a208-1050ff00ca14,1,2,cmapss,cnn,60percent,22.16423225402832,841.805908203125,43623.66796875,43.596004486083984,44.04290390014648,2.84214531050788
