,,,test/target/score/dataloader_idx_1,test/target/score/dataloader_idx_1,test/target/score/dataloader_idx_1,test/target/score/dataloader_idx_1,test/target/score/dataloader_idx_1,test/target/score/dataloader_idx_1,test/target/score/dataloader_idx_1,test/target/score/dataloader_idx_1,test/target/score/dataloader_idx_1,test/target/score/dataloader_idx_1,test/target/score/dataloader_idx_1,test/target/score/dataloader_idx_1,test/target/score/dataloader_idx_1,test/target/score/dataloader_idx_1,test/target/score/dataloader_idx_1,test/target/score/dataloader_idx_1,test/target/score/dataloader_idx_1,test/target/score/dataloader_idx_1,test/target/score/dataloader_idx_1,test/target/score/dataloader_idx_1,test/target/score/dataloader_idx_1,test/target/score/dataloader_idx_1,test/target/score/dataloader_idx_1,test/target/score/dataloader_idx_1
dataset,,,cmapss,cmapss,cmapss,cmapss,cmapss,cmapss,cmapss,cmapss,cmapss,cmapss,cmapss,cmapss,femto,femto,femto,femto,femto,femto,xjtu-sy,xjtu-sy,xjtu-sy,xjtu-sy,xjtu-sy,xjtu-sy
source,,,1,1,1,2,2,2,3,3,3,4,4,4,1,1,2,2,3,3,1,1,2,2,3,3
target,,,2,3,4,1,3,4,1,2,4,1,2,3,2,3,1,3,1,2,2,3,1,3,1,2
adaption_mode,backbone,approach,,,,,,,,,,,,,,,,,,,,,,,,
60percent,cnn,AdaRulApproach,78089363.35859375,51390.9984375,343474.7515625,1446385.5545898438,70116.3015625,87988.3029296875,190121.0798828125,27550205.40625,246696.2078125,8194.212512207032,2661.9083984375,56304.8625,,,,,,,,,,,,
60percent,cnn,ConditionalDannApproach,59392.9078125,2082.206396484375,92560.440625,2570.2546997070312,10054.933512369791,10182.7736328125,1202.777734375,32401.439453125,58198.8203125,8537.025390625,120074.0609375,9699.624609375,,,,,,,,,,,,
60percent,cnn,ConditionalMmdApproach,93918.44140625,6461.6634765625,276398.8671875,2143.8114501953123,7344.5482421875,15655.27421875,1520.179296875,154183.8265625,210039.9703125,18064.362890625,38395.41552734375,91245.8828125,,,,,,,,,,,,
60percent,cnn,ConsistencyApproach,59398860.0671875,702905.61953125,39379434253.8625,58136.10454101562,172194.2939453125,23940.278125,3838956.2389648436,34363889.0640625,6.611204697025116e+16,13232.38037109375,7181.9671875,1428342.83046875,,,,,,,,,,,,
60percent,cnn,DannApproach,60591.075,2586.699560546875,97906.29375,2289.4619384765624,12948.6740234375,9237.701171875,1234.3748046875,81825.169140625,141652.3390625,4045.7490234375,48902.0140625,8703.18935546875,,,,,,,,,,,,
60percent,cnn,LatentAlignApproach,305616.0640625,4744.680810546875,341695.9484375,840.9092529296875,3582.685205078125,11639.490478515625,2225.0776123046876,61446.32578125,331093.25625,2039.6385986328125,4124.680444335938,16452.9451171875,,,,,,,,,,,,
60percent,cnn,MmdApproach,239044.1234375,6503.4123046875,300140.653125,13375.33310546875,3889680.9142578123,24357.78359375,1902.8697509765625,546815.55,630033.85625,3882.904931640625,7189.1662109375,781147.19609375,,,,,,,,,,,,
60percent,cnn,PseudoLabelsApproach,6262.34130859375,1244.9930419921875,31728.88828125,18444.77961425781,53868.228515625,29894.1640625,24013.272705078125,120431.428125,193836.6359375,1968.3296142578124,22874.1681640625,118571.8337890625,,,,,,,,,,,,
complete,cnn,AdaRulApproach,6914876.0046875,32553.00859375,908961.38125,2143.3659912109374,504007.5873046875,67850.76796875,60301.1896484375,501508.9453125,8054054.9625,3193.1187255859377,3928.63203125,48879.27431640625,,,,,,,,,,,,
complete,cnn,ConditionalDannApproach,69315.2109375,2781.6287353515627,59750.3953125,2733.0457275390627,11618.79765625,9652.6564453125,1466.7311279296875,37286.350390625,29498.662109375,10402.123828125,129337.7546875,8308.8125,,,,,,,,,,,,
complete,cnn,ConditionalMmdApproach,108929.4203125,5087.50478515625,659604.584375,3525.844287109375,13033.6912109375,12816.4681640625,2197.942626953125,119643.67421875,426332.7890625,31079.8529296875,34128.8572265625,344550.64375,,,,,,,,,,,,
complete,cnn,ConsistencyApproach,9911324.55625,1264510.5625,454223862.840625,51327.2125,297706.85234375,27092.379296875,890088.6759277344,1605649.4625,216819040208663.25,24094.1501953125,7125.36591796875,640750037.7125,,,,,,,,,,,,
complete,cnn,DannApproach,66035.10546875,3451.7255615234376,119575.7890625,3639.2681640625,12119.1451171875,9442.5181640625,1747.9046142578125,92617.1640625,102904.6953125,5211.42900390625,68562.55859375,10173.4298828125,,,,,,,,,,,,
complete,cnn,LatentAlignApproach,272442.078125,1661.370166015625,349446.95,933.5988464355469,3530.293994140625,9743.8359375,3623.013671875,439367.3515625,310522.9078125,1126.3668823242188,3493.142333984375,5821.939501953125,,,,,,,,,,,,
complete,cnn,MmdApproach,410306.753125,2928903.044824219,351390.6265625,1889421353520.4233,706877.475,20783.4375,5854.435546875,366301.5625,645094.734375,12728.7421875,9092.931640625,133762.50390625,,,,,,,,,,,,
complete,cnn,PseudoLabelsApproach,8156.769750976562,5738.255126953125,13696.9755859375,396189.0110717773,9007.263818359375,19066.4181640625,470.90394287109376,99124.5203125,153538.865625,1550.3375,3171.99140625,94249.14091796875,,,,,,,,,,,,
inductive,cnn,AdaRulApproach,59835826.665625,320158.49482421874,6490707.38125,5185711.795654297,678876.4416015625,50848.9546875,712501.183203125,3313038.63125,150077.759375,4741.578173828125,5116.102001953125,12412829.65,,,,,,,,,,,,
inductive,cnn,ConditionalDannApproach,72729.7125,2273.621728515625,87570.9703125,2031.3771240234375,10822.064453125,9258.5611328125,2227.5254638671877,33108.782421875,33239.831640625,5199.822705078125,132981.603125,8363.1451171875,,,,,,,,,,,,
inductive,cnn,ConditionalMmdApproach,181306.15625,5354.1693359375,174249.9859375,1576.684326171875,4939.088818359375,9309.7517578125,1722.0832275390626,326238.096875,392515.1625,22775.0119140625,52927.66328125,76018.003125,,,,,,,,,,,,
inductive,cnn,ConsistencyApproach,50930266.340625,15791.43701171875,3956631837727.6377,211745.50258789063,37203639.509375,25857.918359375,196930.2712890625,4086537872.75,577488377201.9359,11976.94658203125,5307.138134765625,1943426132.1347656,,,,,,,,,,,,
inductive,cnn,DannApproach,66195.915625,2532.36181640625,124989.74375,2458.546826171875,10954.344140625,9371.3931640625,1048.7734497070312,89295.3171875,169777.33125,4461.176171875,51900.6171875,10449.776171875,,,,,,,,,,,,
inductive,cnn,LatentAlignApproach,301131.8875,1453.8161010742188,114829.478125,643.8942810058594,5827.308654785156,10732.60205078125,1430.006005859375,292594.32890625,81279.078125,1442.5984741210937,229064.9072265625,2983.4581787109373,,,,,,,,,,,,
inductive,cnn,MmdApproach,283663.65625,38512.333203125,304917.04375,15600.542529296876,51815.508984375,22712.26953125,1477.574462890625,568995.46796875,199082.80546875,5053.38828125,18008.0021484375,227519.6890625,,,,,,,,,,,,
inductive,cnn,PseudoLabelsApproach,4743.40517578125,826.1571166992187,24914.97802734375,21110.932055664063,38058.75402832031,18397.90703125,4145.9332275390625,25566.5498046875,60793.00625,25390.711474609376,6685.889111328125,75511.112109375,,,,,,,,,,,,
transductive,cnn,AdaRulApproach,6258633.6515625,48946.85380859375,384983.7734375,18606.88798828125,8382.9244140625,79844.715625,94240.51640625,19155461.3453125,901972.284375,2641.778466796875,3143.381591796875,12060.33583984375,0.22137141227722168,0.006905486765754176,0.18458404690027236,0.1661255270242691,0.04928669482469559,0.1922311633825302,0.0884169414639473,0.09121818425192033,0.19173313677310944,0.12737427055835723,0.08854200681671501,0.0929969985038042
transductive,cnn,ConditionalDannApproach,70173.72421875,2141.9488525390625,77890.0078125,2626.3142578125,12088.1287109375,9511.1607421875,2130.3543701171875,37349.4171875,56163.867578125,8140.162890625,122369.2140625,8062.91083984375,0.14362870156764984,0.14698738753795623,0.3218876361846924,0.024905649200081825,0.07936286330223083,0.21073803901672364,0.06850254759192467,0.1330698698759079,0.17309461683034896,0.32188396602869035,0.12225093841552734,0.2504761815071106
transductive,cnn,ConditionalMmdApproach,80328.06328125,11442.721875,138214.575,3040.448388671875,5267.772216796875,16506.1859375,1843.9697265625,122668.30625,292858.126171875,18979.8568359375,329110.9136230469,103138.679296875,0.22707352936267852,0.3151508629322052,0.3775881052017212,0.026801413297653197,0.08894510120153427,0.2598645508289337,0.05464886128902435,0.09987977966666221,0.1167306661605835,0.2916387289762497,0.22583267986774444,0.24935314059257507
transductive,cnn,ConsistencyApproach,105894786.878125,1348578.0021484375,2729010.54375,431972593946.41956,14296763.991894532,25486.953125,53950.64489746094,850800114663309.2,810912.2,33365.9421875,4763.762109375,13458059.356640626,0.12654649913311006,0.10271605253219604,0.25139088928699493,0.12149645946919918,0.07766955494880676,0.22400892972946168,0.05518826395273209,0.034474008902907374,0.1538984954357147,0.3772428512573242,0.16146453320980073,0.13080183118581773
transductive,cnn,DannApproach,58331.75703125,2522.882958984375,105485.58203125,2876.515869140625,11867.38720703125,9309.7912109375,2328.4052734375,60510.329296875,128418.328125,4334.769580078125,55509.8796875,10715.9099609375,0.2005672574043274,0.04685755968093872,0.21020141541957854,0.031953216344118116,0.0847568616271019,0.22403042614459992,0.05549699291586876,0.15150150330737233,0.11140009611845017,0.4223164260387421,0.16934705823659896,0.25767306089401243
transductive,cnn,LatentAlignApproach,94303.7125,3769.8612548828123,579852.703125,707.2838500976562,2364.0815307617186,10847.68203125,1821.005322265625,338752.3623046875,1425201.55078125,1148.672705078125,2590.738525390625,3403.226708984375,0.14556439965963364,0.05370824486017227,0.22814192473888398,0.06613431870937347,0.20099563896656036,0.13666911870241166,0.07034350782632828,0.06318034753203391,0.1454508274793625,0.08744190186262131,0.14514604806900025,0.23080556988716125
transductive,cnn,MmdApproach,336290.2484375,31473.79365234375,229071.403125,56479.869384765625,21267.34833984375,22349.10859375,1916.9409423828124,538936.59375,409952.1984375,5024.110546875,19829.591796875,260439.0609375,0.14539827704429625,0.042274944484233856,0.17098423838615417,0.056522518396377563,0.08147605806589127,0.12160074114799499,0.061388590931892396,0.04075963832437992,0.12606094181537628,0.30468978434801103,0.15812339037656784,0.3065338969230652
transductive,cnn,NoAdaptionApproach,467560.5125,12269.1677734375,331798.0875,1.3256123941358626e+22,105192285516.8,26072.119140625,14317.175927734375,69729.7078125,59209.09609375,929400818.0166016,15069.25205078125,3.6431440953455456e+17,0.2583710551261902,0.09044817388057709,0.23791140615940093,0.03058275058865547,0.08566530346870423,0.20556033551692962,0.05641229674220085,0.022954044863581657,0.1506161242723465,0.3115666061639786,0.2123408645391464,0.20679808557033538
transductive,cnn,PseudoLabelsApproach,6237.3583984375,781.4117919921875,5774.395751953125,13363.623815917968,23794.7826171875,26627.398828125,79166.5609008789,185339.8048828125,75961.89609375,17337.04426269531,9668.35673828125,52472.890234375,0.17588930875062941,0.08277142643928528,0.24196481853723525,0.08017562553286553,0.18286080658435822,0.1363102376461029,0.07899203002452851,0.47149441242218015,0.13793568611145018,0.5649340152740479,0.2747723460197449,0.3613114818930626
transductive,lstm,AdaRulApproach,96360.08828125,16800.75849609375,187275.86875,32582.1166015625,37767.9890625,67451.3640625,55037.24716796875,131855.6328125,289591.6625,126296.81875,103678.366015625,22569123.71171875,,,,,,,,,,,,
transductive,lstm,ConditionalDannApproach,50133.97109375,6891.3837890625,96139.28125,13773.9150390625,9369.698486328125,12310.7486328125,4993.7440185546875,129226.67890625,101095.39140625,9272.05126953125,2958.56630859375,151470.170703125,,,,,,,,,,,,
transductive,lstm,ConditionalMmdApproach,51945.11484375,8941.18701171875,66111.20078125,18844.44345703125,92592.8521484375,14670.967578125,1881.9698120117187,65389.5515625,77924.964453125,11008.367431640625,3028.8220703125,96435.048828125,,,,,,,,,,,,
transductive,lstm,ConsistencyApproach,73753.39375,13122.133447265625,113683.353125,77418.58427734375,123602.84921875,14132.34326171875,144435.14265136718,452461.415625,328383.965625,52817.284375,4748.7037109375,770131.590625,,,,,,,,,,,,
transductive,lstm,DannApproach,38671.93203125,5699.9124755859375,47882.716796875,10999.252294921875,15152.5095703125,19062.1140625,4339.91669921875,69096.2859375,211909.0671875,55732.6615234375,4999.02978515625,128218.6953125,,,,,,,,,,,,
